Tweet_ID,Raw_text,Cleaned_text,Created_at,Sentiment,Annotation
7.59049e+17,Never lie to someone that trusts you. Never trust someone that lied to you!,lie trusts trust lied,7/29/16 15:31,0.0,Other
7.59042e+17,You won't believe what's in your food. You probably ate one of these today. Check these now! https://t.co/TTWavZWDIo,food ate check,7/29/16 15:05,0.0,Other
7.59e+17,Sometimes we don't need advice. We just need somebody to listen!,advice listen,7/29/16 13:49,0.0,S2_Feeling_Down
7.5902e+17,"Behind my smile, there's a story you would never understand!",smile story understand,7/29/16 13:39,0.3,S2_Feeling_Down
7.59015e+17,It's really sad that we can find thousands of people on twitter who feel the same way we do. But in everyday life we have no one.,sad find thousands people twitter feel everyday life,7/29/16 13:19,-0.35,S2_Feeling_Down
7.59012e+17,New tattoo spelling fails that have me shaking my head . . . and LOLing!  https://t.co/Zf4zZscssc,tattoo spelling fails shaking head lol ing,7/29/16 13:05,0.15000000000000002,Other
7.59012e+17,"it really hurts when your own family don't understand that depression and social anxiety are real illnesses, and say you're just being lazy.",hurts family understand depression social anxiety illnesses lazy,7/29/16 13:05,-0.10833333333333334,S2_Feeling_Down
7.59003e+17,"Being there for people, because you know what itâ€™s like to have no one.!",people,7/29/16 12:29,0.0,S2_Feeling_Down
7.59002e+17,"It's never too late to learn, but sometimes we learn when it's too late!",late learn learn late,7/29/16 12:27,-0.3,Other
7.59001e+17,We are so scared of people breaking us that we end up breaking ourselves.,scared people breaking breaking,7/29/16 12:20,0.0,S2_Feeling_Down
7.58994e+17,Depression is like a war. You either win or you die trying.,depression war win die,7/29/16 11:56,0.8,S9_Suicidal_Thoughts
7.58982e+17,The 21 highest superhero salaries of all time; #1 will surprise you!  https://t.co/dlUbmIpl7P,21 highest superhero salaries time surprise,7/29/16 11:05,0.0,Other
7.58978e+17,"Say what you feel. It's not being rude, it's called being real..",feel rude called,7/29/16 10:50,-0.3,Other
7.58976e+17,"she's the girl who laughs, smiles, and talks a lot and seems really happy, she could also be the girl who cries herself to sleep every night",girl laughs smiles talks lot happy girl cries sleep night,7/29/16 10:44,0.8,S2_Feeling_Down
